#Table 1
#Characteristics of the 106 USP Planet Candidates Discovered in the Kepler Data
#KIC 	KOI 	m_Kep	T_eff (K)	Logg	R_sstarf (R_sun)	P_orb (days)	t_0 (BJD-2454900)	Depth (ppm)	Duration (hr)	a/R_sstarf	R_p (R_oplus)
KIC	KOI	mKep	Teff	Logg	Rstar	Porb	t0	Depth	Duration	a_over_Rstar	Rp
8947520	2517.01	14.5				0.96852469	64.512671				
9092504	2716.01	15.8				0.96286621	102.676246				
9149789	2874.01	14.9				0.35251639	64.663443				
9221517	2281.01	13.8				0.76985432	64.749343				
9388479	936.02	15.1				0.89304119	64.861219				
9456281	4207.01	15.4				0.70194345	65.003065				
9472074	2735.01	15.6				0.55884253	64.576962				
9473078	2079.01	13.0				0.69384332	54.078837				
9580167	2548.01	15.0				0.82715274	285.928326				
9787239	952.05	15.8				0.74295778	64.794040				
10024051	2409.01	14.9				0.57736948	64.270976				
10028535	2493.01	15.3				0.66308666	64.978343				
10281221	3913.01	15.0				0.58289571	64.620720				
10319385	1169.01	13.2				0.68920948	53.191352				
10468885	2589.01	15.6				0.66407444	65.075194				
10604521	2797.01	15.8				0.86812153	285.335843				
10647452	4366.01	15.6				0.76295078	285.410004				
10975146	1300.01	14.3				0.63133223	64.418552				
11030475	2248.03	15.5				0.76196246	64.259895				
11197853	2813.01	13.6				0.69846257	53.675039				
11246161	2796.01	14.8				0.53740984	64.495864				
11401182	1428.01	14.6				0.92785963	64.122301				
11547505	1655.01	13.8				0.93846561	63.909869				
11600889	1442.01	12.5				0.66931017	53.745653				
11752632	2492.01	13.8				0.98493890	64.350365				
11870545	1510.01	15.9				0.83996160	102.954242				
11904151	72.01	11.0				0.83749060	53.687909				
12170648	2875.01	14.8				0.29969767	64.717608				
12265786	4595.01	15.5				0.59701811	64.713396				
12405333	3009.01	15.2				0.76486301	64.368844				
3834322	2763.01	15.4				0.49843515	64.569826				
5008501	1666.01	14.5				0.96802576	64.756733				
5080636	1843.00	14.4				0.17689162	64.552254				
5773121	4002.01	15.0				0.52417582	64.601474				
5980208	2742.01	15.0				0.78916057	64.505441				
6750902	3980.01	14.7				0.46933249	64.742598				
7051984	2879.01	12.8				0.33906981	53.680375				
7269881	2916.01	14.4				0.30693783	64.635907				
7582691	4419.01	15.2				0.25981944	285.437765				
8189801	2480.01	15.7				0.66682749	64.706275				
8416523	4441.01	14.9				0.34184200	64.318576				
9353742	3867.01	14.9				0.93875053	64.682273				
9467404	2717.01	12.4				0.92990607	53.162180				
9475552	2694.01	15.0				0.84338039	64.122461				
9873254	717.00	13.4				0.90037004	53.519695				
9885417	3246.01	12.4				0.68996781	53.595490				
9967771	1875.02	14.5				0.53835457	64.648809				
10186945	4070.01	14.5				0.39683023	64.395900				
12115188	2396.01	14.7				0.49543428	64.477019				
#Notes.
#Stellar parameters obtained from the compilation by Huber et al. (2014). Transit parameters based on an analysis of the folded transit light curve. The first 18 objects are new planet candidates. These objects either emerged from our search for the first time, or appear on the KOI list as false positives but that we consider to be viable candidates. After the horizontal line are the 69 KOIs that passed our false positive tests (Akeson et al. 2013). Finally, after the next horizontal line are 19 other candidates that were discovered by other authors (Ofir & Dreizler 2013; Huang et al. 2013; Jackson et al. 2013). Planets discovered transiting stars with other KOI planets with no KOI number assigned are labeled with the KOI of the star followed by a dot and two zeros.
